line_id,switching_event_id,ferro_mode,is_label_positive,peak_overvoltage_pu,duration_ms,detected_at,suppressed_by_relay
mock_foreign_key_474,mock_foreign_key_101,sub_harmonic,false,3.93,981.81,2025-11-21T01:04:15.162Z,false
mock_foreign_key_268,mock_foreign_key_85,fundamental,false,1.88,2646.91,2025-06-08T03:59:00.802Z,true
mock_foreign_key_902,mock_foreign_key_692,sub_harmonic,false,2.96,512.01,2025-07-29T22:57:48.162Z,false
mock_foreign_key_525,mock_foreign_key_760,sub_harmonic,false,2.87,1483.55,2025-11-28T02:44:05.848Z,false
mock_foreign_key_173,mock_foreign_key_322,fundamental,false,3.6,3911.32,2026-03-01T03:55:27.479Z,false
mock_foreign_key_675,mock_foreign_key_739,chaotic,false,3.76,3079.67,2025-07-29T05:22:39.176Z,false
mock_foreign_key_543,mock_foreign_key_266,fundamental,false,1.89,1858.57,2025-10-18T23:22:10.175Z,true
mock_foreign_key_787,mock_foreign_key_481,fundamental,false,2.95,877.89,2025-05-10T15:26:21.691Z,false
mock_foreign_key_501,mock_foreign_key_310,fundamental,false,1.71,1601.95,2026-04-04T08:05:36.292Z,true
mock_foreign_key_999,mock_foreign_key_248,fundamental,false,1.7,954.61,2026-03-24T02:21:32.627Z,true
mock_foreign_key_780,mock_foreign_key_75,fundamental,false,2.28,3929.16,2026-02-13T04:40:36.201Z,true
mock_foreign_key_214,mock_foreign_key_169,sub_harmonic,false,2.94,4857.04,2025-12-20T22:52:35.828Z,true
mock_foreign_key_516,mock_foreign_key_695,fundamental,false,2.38,3570.22,2025-11-17T09:41:17.177Z,false
mock_foreign_key_102,mock_foreign_key_514,sub_harmonic,false,2.85,4956.85,2025-10-27T08:58:06.588Z,true
mock_foreign_key_930,mock_foreign_key_882,sub_harmonic,false,3.8,1903.33,2026-02-14T16:05:50.857Z,true
mock_foreign_key_745,mock_foreign_key_810,fundamental,false,1.31,4128.19,2025-10-08T20:46:11.105Z,true
mock_foreign_key_498,mock_foreign_key_676,fundamental,false,3.19,4755.51,2025-09-10T13:17:15.796Z,true
mock_foreign_key_250,mock_foreign_key_373,fundamental,false,1.71,4868,2025-08-22T17:12:57.374Z,false
mock_foreign_key_242,mock_foreign_key_603,chaotic,false,1.18,3816.89,2025-10-16T10:04:50.520Z,false
mock_foreign_key_630,mock_foreign_key_424,fundamental,false,1.73,4419.9,2025-05-01T17:15:13.855Z,false
mock_foreign_key_855,mock_foreign_key_877,sub_harmonic,false,3.8,1032.97,2025-09-24T22:01:43.994Z,false
mock_foreign_key_4,mock_foreign_key_203,sub_harmonic,false,1.86,1731.93,2026-02-21T00:33:08.239Z,true
mock_foreign_key_919,mock_foreign_key_362,fundamental,false,3.76,2046.08,2026-01-18T04:40:56.576Z,true
mock_foreign_key_697,mock_foreign_key_544,fundamental,false,2.21,1347.84,2025-11-01T21:19:01.814Z,false
mock_foreign_key_32,mock_foreign_key_356,chaotic,false,1.4,614.62,2026-04-13T10:47:08.072Z,false
mock_foreign_key_334,mock_foreign_key_597,sub_harmonic,false,4.13,4633.76,2025-10-23T08:42:01.889Z,true
mock_foreign_key_367,mock_foreign_key_168,sub_harmonic,false,1.72,2795.35,2026-04-15T21:08:50.079Z,false
mock_foreign_key_553,mock_foreign_key_603,chaotic,false,2.39,769.24,2025-12-14T15:01:55.159Z,false
mock_foreign_key_840,mock_foreign_key_617,fundamental,false,4.48,611.92,2025-09-10T11:41:07.165Z,false
mock_foreign_key_365,mock_foreign_key_832,chaotic,false,1.52,1406.5,2025-07-23T18:40:15.730Z,true
mock_foreign_key_384,mock_foreign_key_181,sub_harmonic,false,4.19,2634.1,2025-11-22T05:50:31.705Z,false
mock_foreign_key_669,mock_foreign_key_539,chaotic,false,2.39,116.56,2025-07-04T04:44:52.492Z,false
