line_id,ferro_id,timestamp,stress_value,propagation_depth,affected_bus_count,gradient_direction
mock_foreign_key_20,mock_foreign_key_382,2025-05-04T10:28:47.238Z,464.74,7,21,upstream
mock_foreign_key_393,mock_foreign_key_595,2025-10-25T21:26:56.733Z,207.77,5,13,downstream
mock_foreign_key_157,mock_foreign_key_529,2025-08-12T10:05:27.753Z,499.48,4,7,lateral
mock_foreign_key_93,mock_foreign_key_169,2025-07-12T11:22:21.527Z,451.62,3,23,downstream
mock_foreign_key_257,mock_foreign_key_722,2025-10-02T16:37:10.718Z,148.35,1,15,upstream
mock_foreign_key_386,mock_foreign_key_430,2025-10-24T05:14:02.699Z,326.05,8,2,downstream
mock_foreign_key_713,mock_foreign_key_95,2026-03-06T02:34:58.144Z,102.33,3,17,lateral
mock_foreign_key_564,mock_foreign_key_864,2025-12-15T10:24:30.847Z,60.83,6,15,upstream
mock_foreign_key_904,mock_foreign_key_908,2026-02-04T05:55:28.056Z,429.97,4,12,downstream
mock_foreign_key_142,mock_foreign_key_945,2025-07-26T06:52:52.536Z,464.06,6,21,downstream
mock_foreign_key_171,mock_foreign_key_551,2025-08-18T12:08:01.478Z,227.86,5,18,lateral
mock_foreign_key_174,mock_foreign_key_402,2025-07-28T06:16:41.763Z,353.53,4,24,upstream
mock_foreign_key_857,mock_foreign_key_928,2025-05-26T19:23:26.156Z,401.98,8,10,downstream
mock_foreign_key_49,mock_foreign_key_984,2025-12-20T06:23:43.389Z,424.16,3,25,lateral
mock_foreign_key_382,mock_foreign_key_206,2025-08-19T13:22:41.459Z,79.9,1,13,upstream
mock_foreign_key_512,mock_foreign_key_271,2025-07-06T16:18:23.789Z,408.48,2,15,upstream
mock_foreign_key_437,mock_foreign_key_997,2025-07-01T23:51:32.298Z,201.23,4,2,upstream
mock_foreign_key_517,mock_foreign_key_434,2026-04-06T18:37:05.152Z,115.9,3,1,lateral
mock_foreign_key_637,mock_foreign_key_279,2026-02-16T06:42:59.579Z,278.23,4,15,lateral
mock_foreign_key_488,mock_foreign_key_556,2025-09-13T00:08:36.498Z,73.81,2,19,downstream
mock_foreign_key_981,mock_foreign_key_122,2025-06-08T11:36:33.103Z,496.63,4,3,downstream
mock_foreign_key_914,mock_foreign_key_413,2025-09-05T01:54:26.392Z,95.85,3,5,lateral
mock_foreign_key_350,mock_foreign_key_713,2025-05-16T14:22:35.924Z,366.3,4,24,downstream
mock_foreign_key_793,mock_foreign_key_722,2025-11-29T14:24:58.529Z,178.54,7,1,upstream
mock_foreign_key_837,mock_foreign_key_337,2025-05-13T14:44:02.004Z,122.16,1,10,downstream
mock_foreign_key_24,mock_foreign_key_768,2025-09-13T19:25:29.526Z,430.05,8,4,upstream
mock_foreign_key_379,mock_foreign_key_923,2025-08-12T01:59:29.470Z,453.22,3,23,downstream
mock_foreign_key_676,mock_foreign_key_793,2026-04-16T18:11:33.877Z,2.04,7,7,downstream
mock_foreign_key_395,mock_foreign_key_664,2025-05-02T03:52:19.301Z,168.47,7,7,upstream
mock_foreign_key_935,mock_foreign_key_467,2025-12-21T04:32:43.348Z,474.21,4,22,downstream
mock_foreign_key_13,mock_foreign_key_711,2025-05-24T02:01:18.071Z,468.08,5,24,upstream
mock_foreign_key_484,mock_foreign_key_741,2025-12-22T16:38:15.746Z,1.51,3,16,upstream
mock_foreign_key_687,mock_foreign_key_602,2025-07-20T11:54:49.254Z,314.09,7,8,upstream
mock_foreign_key_893,mock_foreign_key_646,2026-04-21T19:16:19.975Z,410.65,4,9,upstream
mock_foreign_key_698,mock_foreign_key_307,2026-04-06T06:52:27.313Z,78.81,4,22,downstream
mock_foreign_key_215,mock_foreign_key_230,2026-01-15T04:13:11.535Z,157,6,6,downstream
mock_foreign_key_370,mock_foreign_key_299,2026-03-29T10:24:43.389Z,84.54,1,7,downstream
mock_foreign_key_57,mock_foreign_key_178,2025-10-19T01:25:59.695Z,164.23,5,23,lateral
mock_foreign_key_847,mock_foreign_key_722,2025-07-04T17:00:01.407Z,320.92,5,16,downstream
mock_foreign_key_10,mock_foreign_key_725,2026-03-16T04:34:35.018Z,249.71,5,9,lateral
mock_foreign_key_419,mock_foreign_key_534,2025-12-02T23:15:18.298Z,287.94,4,12,downstream
mock_foreign_key_20,mock_foreign_key_472,2025-05-04T11:53:59.559Z,344.36,4,8,upstream
mock_foreign_key_235,mock_foreign_key_634,2026-04-16T16:55:40.675Z,385.94,6,19,upstream
mock_foreign_key_320,mock_foreign_key_971,2025-11-26T11:54:01.347Z,430.39,3,9,upstream
mock_foreign_key_481,mock_foreign_key_215,2025-05-28T06:08:24.230Z,459.84,6,9,downstream
mock_foreign_key_723,mock_foreign_key_286,2025-08-03T19:12:09.058Z,377.88,3,1,downstream
mock_foreign_key_308,mock_foreign_key_471,2026-03-26T20:54:26.314Z,238.35,1,10,downstream
mock_foreign_key_321,mock_foreign_key_11,2026-04-04T14:54:38.188Z,83.07,4,18,downstream
mock_foreign_key_27,mock_foreign_key_696,2025-10-29T02:51:18.433Z,466.9,6,20,upstream
mock_foreign_key_366,mock_foreign_key_825,2025-09-13T09:23:30.108Z,166.63,2,23,upstream
mock_foreign_key_168,mock_foreign_key_378,2026-03-13T19:57:26.464Z,344.4,7,18,lateral
mock_foreign_key_450,mock_foreign_key_287,2026-02-09T11:40:03.735Z,247.88,3,20,lateral
mock_foreign_key_340,mock_foreign_key_793,2025-08-08T02:04:07.771Z,104.73,8,2,downstream
mock_foreign_key_486,mock_foreign_key_519,2025-12-02T10:11:17.029Z,29.62,8,15,downstream
mock_foreign_key_398,mock_foreign_key_669,2025-12-31T16:32:43.505Z,437.96,6,9,upstream
mock_foreign_key_280,mock_foreign_key_79,2025-12-02T15:34:44.236Z,364.05,7,8,downstream
mock_foreign_key_705,mock_foreign_key_825,2025-08-08T09:56:53.401Z,88.35,1,2,downstream
mock_foreign_key_218,mock_foreign_key_982,2025-12-03T16:50:29.712Z,232.03,8,2,downstream
mock_foreign_key_298,mock_foreign_key_978,2025-05-30T12:17:43.133Z,38.44,4,2,downstream
mock_foreign_key_393,mock_foreign_key_537,2026-02-18T19:30:58.321Z,115.49,6,8,downstream
mock_foreign_key_130,mock_foreign_key_944,2026-04-25T14:20:48.851Z,331.97,5,20,downstream
mock_foreign_key_802,mock_foreign_key_124,2025-05-26T23:06:05.490Z,44.27,2,6,downstream
mock_foreign_key_405,mock_foreign_key_986,2025-05-31T01:30:56.657Z,336.55,6,16,lateral
mock_foreign_key_531,mock_foreign_key_903,2025-05-31T15:11:02.921Z,414.38,1,23,downstream
mock_foreign_key_883,mock_foreign_key_751,2025-10-07T20:12:47.803Z,137.72,7,8,upstream
mock_foreign_key_111,mock_foreign_key_579,2025-09-23T18:08:23.383Z,493.19,4,4,lateral
mock_foreign_key_693,mock_foreign_key_744,2025-05-14T18:04:01.971Z,144.1,2,8,downstream
mock_foreign_key_616,mock_foreign_key_525,2025-09-16T07:57:06.697Z,336.83,6,3,downstream
mock_foreign_key_19,mock_foreign_key_166,2025-12-28T03:15:23.809Z,132.11,4,13,downstream
mock_foreign_key_594,mock_foreign_key_34,2025-05-23T02:37:40.265Z,323.46,7,21,upstream
mock_foreign_key_664,mock_foreign_key_96,2026-04-12T09:36:30.327Z,475.93,8,15,downstream
mock_foreign_key_791,mock_foreign_key_179,2025-09-28T03:30:01.260Z,172.19,6,14,upstream
mock_foreign_key_351,mock_foreign_key_525,2026-04-25T20:11:45.030Z,450.44,5,22,downstream
mock_foreign_key_786,mock_foreign_key_553,2025-09-15T17:06:48.329Z,307.54,4,1,lateral
mock_foreign_key_310,mock_foreign_key_871,2026-04-05T20:07:29.792Z,352.86,4,7,lateral
mock_foreign_key_197,mock_foreign_key_674,2025-06-02T02:13:02.947Z,23.19,1,2,downstream
mock_foreign_key_240,mock_foreign_key_409,2025-10-16T14:04:24.306Z,373.42,3,20,upstream
mock_foreign_key_983,mock_foreign_key_423,2026-04-30T22:24:38.037Z,375.92,5,14,downstream
mock_foreign_key_168,mock_foreign_key_925,2026-03-01T04:41:51.090Z,190.81,1,24,downstream
mock_foreign_key_397,mock_foreign_key_263,2025-10-29T04:55:46.631Z,47.15,7,8,upstream
mock_foreign_key_816,mock_foreign_key_163,2025-07-06T15:22:18.875Z,258.92,1,8,downstream
mock_foreign_key_481,mock_foreign_key_508,2025-11-06T13:46:18.256Z,196.4,1,16,downstream
mock_foreign_key_53,mock_foreign_key_155,2025-12-06T17:39:59.181Z,179.91,6,1,upstream
mock_foreign_key_423,mock_foreign_key_1,2025-09-09T17:32:03.254Z,6.16,5,24,downstream
mock_foreign_key_823,mock_foreign_key_363,2025-09-01T13:07:18.196Z,22.66,7,2,downstream
mock_foreign_key_644,mock_foreign_key_695,2025-12-01T05:08:37.553Z,432.14,3,10,downstream
mock_foreign_key_714,mock_foreign_key_363,2026-03-12T22:08:00.694Z,222.45,4,20,downstream
mock_foreign_key_697,mock_foreign_key_171,2026-02-01T04:12:20.240Z,372.77,3,2,downstream
mock_foreign_key_932,mock_foreign_key_38,2026-03-05T22:47:08.228Z,113.24,1,3,upstream
mock_foreign_key_579,mock_foreign_key_652,2025-08-31T01:41:05.573Z,326.95,3,21,downstream
mock_foreign_key_453,mock_foreign_key_310,2026-04-04T19:01:19.245Z,274.87,1,7,downstream
mock_foreign_key_716,mock_foreign_key_95,2025-09-07T01:30:34.546Z,426.02,6,16,downstream
mock_foreign_key_234,mock_foreign_key_994,2026-04-09T02:29:39.175Z,424.62,1,6,downstream
mock_foreign_key_961,mock_foreign_key_769,2026-01-24T06:15:35.283Z,70.12,5,18,downstream
mock_foreign_key_365,mock_foreign_key_366,2026-03-29T19:52:26.905Z,218.51,3,22,downstream
mock_foreign_key_393,mock_foreign_key_118,2025-07-03T22:16:28.265Z,471.72,6,21,downstream
mock_foreign_key_755,mock_foreign_key_496,2026-02-28T11:07:59.529Z,324.66,2,14,upstream
mock_foreign_key_549,mock_foreign_key_357,2025-11-06T09:53:54.081Z,241.11,5,22,upstream
mock_foreign_key_426,mock_foreign_key_280,2026-01-02T03:26:57.631Z,424.34,3,16,upstream
mock_foreign_key_823,mock_foreign_key_304,2025-08-09T15:23:50.720Z,247.35,1,1,downstream
mock_foreign_key_783,mock_foreign_key_918,2026-01-13T16:30:01.294Z,77.65,7,14,downstream
mock_foreign_key_741,mock_foreign_key_547,2026-02-08T15:32:13.998Z,262.39,1,20,downstream
mock_foreign_key_123,mock_foreign_key_462,2025-09-28T05:20:23.229Z,20.41,1,25,downstream
mock_foreign_key_402,mock_foreign_key_403,2025-08-28T12:55:48.095Z,291.82,1,24,lateral
mock_foreign_key_428,mock_foreign_key_665,2026-03-18T02:18:17.544Z,428.73,1,8,downstream
